_id,image,brand,name,price,capacityGb,tier,type,formFactor,connectionInterface
608dd615905ec60bdc06a532,/images/storage/41h2nxtc42L.jpg,Seagate,Exos 7E8,866.23,4000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a533,/images/storage/4db7e4213a1464d5f451cb8613135cb8.256p.jpg,Seagate,EXOS Enterprise,490.90,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a534,/images/storage/4db7e4213a1464d5f451cb8613135cb8.256p.jpg,Seagate,EXOS Enterprise,554.92,4000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a535,/images/storage/4db7e4213a1464d5f451cb8613135cb8.256p.jpg,Seagate,EXOS Enterprise,720.67,6000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a536,/images/storage/4db7e4213a1464d5f451cb8613135cb8.256p.jpg,Seagate,EXOS Enterprise,807.58,8000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a537,/images/storage/4db7e4213a1464d5f451cb8613135cb8.256p.jpg,Seagate,EXOS Enterprise,1259.67,14000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a538,/images/storage/4db7e4213a1464d5f451cb8613135cb8.256p.jpg,Seagate,EXOS Enterprise,1301.25,1000,8,7200RPM,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a539,/images/storage/4db7e4213a1464d5f451cb8613135cb8.256p.jpg,Seagate,EXOS Enterprise,1416.46,16000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a540,/images/storage/0c3a3cafcf64edf04ee4b379dafa46ee.256p.jpg,Seagate,EXOS Enterprise X18,1667.30,18000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a541,/images/storage/6c803d5be91e00884d9c8946f0e37c8a.256p.jpg,Seagate,Exos X14,1569.11,10000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a542,/images/storage/6c803d5be91e00884d9c8946f0e37c8a.256p.jpg,Seagate,Exos X14,1602.01,12000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a543,/images/storage/f1e854263d8bce651e105a14d2611a19.256p.jpg,Seagate,Exos X16,1019.11,10000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a544,/images/storage/f1e854263d8bce651e105a14d2611a19.256p.jpg,Seagate,Exos X16,1140.23,12000,8,7200RPM,"3.5""",SATA 6 Gb/s
